RSI,MACD,Close,Stochastic Fast K,Stochastic Fast D,Williams %R,Ultimate Oscilator,TSF,CCI,Y
67.372717,0.644125,246.74,100,97.707608,0,81.957477,247.370549,122.571001,2.089431
66.945622,0.281015,246.62,97.231834,88.60795,-1.26183,76.041802,246.462088,104.506483,0.750142
46.571483,-0.075717,245.2,56.092437,40.408263,-56.372549,46.457638,244.772451,101.726522,1.947602
62.042478,0.59759,247,79.411765,73.767682,-13.461538,65.057453,246.706703,163.03239,1.313609
57.64861,1.121838,196.23,21.727749,62.313686,-40.161182,60.161484,198.633703,-111.242157,0.395772
44.705846,-1.147151,190.73,69.93007,40.739686,-65.612105,39.360081,188.874505,112.979994,2.657929
69.443753,0.470682,197.15,88.358354,89.693722,-8.535032,69.154378,195.483099,146.770704,0.752261
54.480037,-0.293153,192.65,95.867769,95.951533,-3.49345,71.840751,192.4896,73.095662,2.525279
47.971672,-0.094432,162.01,52.727273,54.817352,-47.272727,55.045523,161.980798,53.65995,0.435993
41.637569,-0.193152,161.26,27.027027,59.83368,-75.117371,49.205059,161.312967,-89.673913,0.081306
43.05584,-0.209303,161.4,32.085561,30.791343,-68.544601,48.065682,161.421538,-45.700912,0.068036
58.377176,0.383776,163.09,29.143898,31.115349,-14.664587,49.228105,163.522308,-1.381215,-0.046733
57.984952,0.114107,58.7,97.87234,76.968085,-2.040816,66.177026,58.548302,145.015106,1.237835
63.620585,0.241386,59.31,79.710145,80.814844,-20.289855,59.875224,59.24967,80.394922,-0.237228
44.241678,-0.196422,58.75,90.756303,31.252364,-63.879599,40.212957,58.323145,97.868217,-3.553256
49.571872,-0.145053,58.99,52.348993,48.360217,-47.651007,38.605954,58.482684,61.541144,-2.696246
71.66667,1.243509,234.13,75.490196,86.749916,-6.075334,75.738541,234.732308,60.615918,-1.467811
48.30254,-0.426493,231,64.680851,48.338672,-45.323741,55.871748,230.238077,51.323262,-1.936179
45.388314,-0.542894,228.3,26,42.1,-72.265625,43.314868,228.625604,-14.029439,0.529801
66.876678,0.943116,232.995,99.537037,80.793217,-0.095238,69.560683,233.001758,166.666667,-1.833762
43.518441,-0.3305,86.68,72.473868,64.739647,-58.893281,43.369723,86.297637,55.037023,-0.624783
48.594925,-0.075921,87.78,100,25,-70.680628,43.607101,87.562857,126.937984,-0.170823
40.391772,-0.084487,87.5,0,0,-100,17.262834,87.542363,-141.203704,-0.15949
46.715984,-0.299865,86.76,77.987421,41.421858,-55.731225,47.01017,86.52522,91.916355,-1.785509
51.939511,0.001353,39.95,70,39.166667,-57.575758,55.095854,39.845747,28.846154,0.777137
44.861719,-0.061888,39.74,62.5,29.595588,-44.078947,47.085386,39.645275,-14.365401,-2.719639
61.21492,0.063389,39.915,94.520548,70.505137,-2.721088,69.833237,39.750769,166.666667,-0.560678
49.079003,-0.047464,39.825,83.950617,58.795612,-50.675676,51.976989,39.539011,56.017748,0.012536
34.352934,-0.209608,85.99,9.952607,15.158012,-95.64839,29.702587,85.82522,-63.164478,-1.965345
38.291021,-0.067953,86.31,12.731024,16.306097,-87.268976,38.879859,86.738242,-68.620928,-2.757502
44.515211,-0.460366,85.13,87.192118,45.619369,-40.40404,50.034896,84.696538,67.831697,-0.372693
42.387609,-0.487691,84.92,55.123675,23.821339,-47.474747,49.377356,84.853462,-5.846215,-1.11594
40.816203,-1.029903,104.07,57.931034,64.147607,-68.188105,45.824323,103.883026,59.846883,-0.445637
53.972375,-0.498922,106,100,97.982955,0,64.641146,105.44829,153.033614,-0.753269
48.456951,-0.747103,105.17,100,85.320586,0,58.546375,105.016404,125.38072,-0.980019
66.617295,0.715226,109.8,88.636364,91.877401,-8.510638,67.735703,109.701484,47.32979,-6.063355
32.228312,-0.592964,48.64,64.680851,60.43213,-69.354839,39.186294,47.954542,50.439948,-0.030855
32.019804,-0.240875,50.03,48.670089,38.82237,-75.704635,46.231128,49.880395,-75.590059,-1.521217
46.443204,0.041979,50.12,0,0,-100,25.736696,50.164945,-97.014925,1.756127
57.929907,0.11188,50.36,78.571429,28.494709,-27.45098,51.08473,50.329132,88.578089,1.729278
41.135186,0.003734,34.815,2.5,28.905423,-73.484848,34.574958,35.021593,-146.068591,-2.285796
50.60183,-0.041275,34.915,77.884615,76.613367,-42.405063,47.862859,34.853187,87.042532,-4.025121
50.433963,0.019642,34.97,57.692308,79.241112,-50.769231,57.260104,34.862856,34.861043,-1.67358
29.017792,-0.172322,34.205,20.16129,18.114729,-88.207547,37.469227,34.155769,-28.80022,-0.308415
68.924555,1.019225,137.97,86.808511,81.626674,-7.126437,65.063178,137.839176,86.750648,0.540463
37.159753,-0.463357,131.31,1.515152,19.96434,-84.27673,46.245336,131.743791,-98.022251,4.028941
64.271295,0.72785,134.745,62.845304,86.947783,-24.365942,65.373706,135.227265,57.191949,0.889416
63.518213,0.827358,134.745,28.835979,58.464526,-24.365942,62.424526,136.164071,-17.457335,1.50337
49.97832,-0.998689,273.69,88.751926,58.713741,-36.824787,51.231684,270.937527,123.94713,6.511628
45.303922,-2.7407,273.41,78.553821,86.555229,-32.841588,45.294882,271.549121,57.931287,4.080542
41.770902,-0.992457,271.85,0,14.260294,-90.515807,37.798828,273.74413,-166.666667,4.899794
44.175675,-3.75471,272.8,82.412523,25.923328,-43.174603,44.096541,268.704491,21.917808,5.15494
46.678216,-0.073334,50.785,64.210526,56.447368,-57.931034,49.648398,50.630978,115.646259,0.942748
41.379912,0.155058,50.825,9.219858,50.316629,-90.780142,42.755975,51.28094,-166.666667,0.617284
50.873522,0.038322,51.055,82.644628,50.116298,-58.156028,50.938998,50.874599,92.44314,1.283684
44.858464,0.055709,50.905,24.786325,33.628192,-79.432624,44.955496,50.958538,-166.666667,1.058824
64.874639,0.150096,122.3,94.38861,73.488163,-3.587684,52.332609,122.048466,91.182151,-3.365818
60.398016,0.739575,122.4585,37.430341,54.578178,-32.926035,57.158956,122.967282,-80.842919,-0.062521
38.631507,-0.608824,120.408,34.608985,10.994294,-79.041916,50.793721,120.178725,42.149292,-2.102048
40.108399,-0.128822,120.821,30.81761,20.754023,-83.466892,43.537386,120.883548,-115.586498,-0.933203
39.1862,-0.033631,16.64,35.802469,22.139275,-64.197531,46.827556,16.695495,-40.674603,-3.013429
42.774363,-0.046847,16.82,20,34.908425,-73.145351,48.506273,16.816934,100,-0.120265
44.838425,-0.045209,16.915,33.962264,62.646711,-76.99115,46.915387,16.849985,-1.357424,-1.944608
42.747118,-0.048642,16.71,0,37.608696,-71.73913,46.773657,16.769176,-82.750583,-1.196888
48.950664,-0.12185,53.86,41.558442,48.050622,-50.184008,46.189796,53.791684,11.943847,-0.334117
35.939752,-0.235434,53.54,43.183367,30.913615,-40.906767,44.226186,53.596344,17.007453,-0.296773
20.811844,-0.184209,53.2833,4.315811,11.060206,-96.124411,23.16503,53.693588,-69.943004,0.223992
35.094256,-0.24595,53.62,33.333333,66.993097,-73.529777,56.991085,53.243549,-93.893678,0.124456
50.337665,-0.000097,24.715,55.128205,38.141026,-44.871795,51.026021,24.668297,31.80212,-2.14923
56.411242,0.022763,24.79,0,65.315315,-2.941176,76.992899,24.842857,-55.555556,-0.843712
31.327268,-0.096251,24.375,16.666667,18.435286,-90.780142,40.185642,24.421765,-70.661739,-0.739827
47.520164,-0.078194,24.615,72.619048,68.948814,-56.737589,48.851109,24.423571,68.639291,0.02028
